velocity,geo_altitude,vertical_rate,speed_change,altitude_change,true_track,anomaly,anomaly_score,risk_score,risk_level,latitude,longitude,time_position,next_latitude,next_longitude,pred_latitude,pred_longitude
263.38,12298.68,-0.33,45.00999999999999,-685.7999999999993,113.36,Normal,0.11966356078680923,0,LOW,44.8636,22.606,2025-08-19 10:34:33,52.6596,63.4571,48.03339599999997,46.53481599999999
207.98,12550.14,-0.33,-15.159999999999997,-228.6000000000004,31.96,Normal,0.10079791565503604,0,LOW,52.6596,63.4571,2025-08-19 10:34:51,41.5243,44.8585,36.61235600000002,28.78008899999998
205.83,11689.08,0.0,4.860000000000014,3451.8600000000006,275.88,Normal,0.15687519625436475,2,LOW,41.5243,44.8585,2025-08-19 10:35:03,63.5259,53.6683,54.32288499999997,47.83819899999997
1241.07,10789.92,0.33,1006.65,-1272.539999999999,69.52,Anomaly,-0.027682856450901627,7,HIGH,63.5259,53.6683,2025-08-19 10:35:03,59.7735,32.3862,48.19673399999997,39.69274399999997
40.86,4937.76,-5.2,-193.45,-4259.58,100.89,Normal,0.03467222751616217,2,LOW,59.7735,32.3862,2025-08-19 10:35:13,36.8402,24.8738,37.483808000000025,27.72853099999999
104.65,5608.32,-6.5,-153.54,-5433.06,121.74,Normal,0.039040821283778726,2,LOW,36.8402,24.8738,2025-08-19 10:35:18,42.9325,28.8228,41.679834999999954,27.95140899999998
254.35,11971.02,0.0,3.579999999999984,-297.1800000000003,133.61,Normal,0.1511312794812807,0,LOW,42.9325,28.8228,2025-08-19 10:35:25,47.4835,10.5788,41.28948199999995,13.826811000000003
32.02,2232.66,-0.33,-226.55,-8884.92,226.3,Normal,0.043953533279579515,2,LOW,47.4835,10.5788,2025-08-19 10:35:47,41.5297,44.8008,38.53776300000001,32.65303399999999
209.81,10911.84,0.0,-31.90000000000001,1546.8600000000006,276.76,Normal,0.15074716960107537,2,LOW,41.5297,44.8008,2025-08-19 10:36:20,21.9652,115.3425,26.510274000000027,88.39891999999996
230.51,8153.4,-0.33,102.56,4853.94,86.03,Normal,0.1064658397253837,2,LOW,21.9652,115.3425,2025-08-19 10:36:22,59.4959,22.9388,50.19322499999998,21.196667999999974
263.24,10820.4,0.0,25.97,-731.5200000000004,64.54,Normal,0.12646561780854143,0,LOW,59.4959,22.9388,2025-08-19 10:36:29,40.0323,9.4365,37.85438499999996,25.73293599999998
200.65,5577.84,-14.31,156.85000000000002,4465.32,216.14,Normal,0.0034568056647719114,2,LOW,40.0323,9.4365,2025-08-19 10:36:47,40.4985,38.198,40.469549000000036,25.804418000000005
204.67,9403.08,0.0,-34.440000000000026,-1287.7800000000009,279.84,Normal,0.14268587831580898,2,LOW,40.4985,38.198,2025-08-19 10:37:03,54.7001,-6.2401,49.660014999999994,0.43643800000000155
43.36,434.34,-0.65,35.9,114.29999999999995,184.76,Normal,0.07863859798908701,0,LOW,54.7001,-6.2401,2025-08-19 10:37:11,49.3727,9.9742,45.45291399999994,5.539594999999997
23.46,678.18,-0.98,-45.190000000000005,-91.44000000000004,74.74,Normal,0.06720471835300257,0,LOW,49.3727,9.9742,2025-08-19 10:37:22,53.9305,27.9932,48.93614900000002,22.453965999999966
91.81,982.98,7.48,-41.60999999999999,-4076.7,318.18,Normal,0.0245720235855027,2,LOW,53.9305,27.9932,2025-08-19 10:37:29,-31.9383,-55.6253,-3.6418580000000116,-30.483830000000022
240.59,11056.62,-0.33,227.73,403.8600000000006,54.13,Normal,0.08430478729582569,0,LOW,-31.9383,-55.6253,2025-08-19 10:37:41,49.8959,-72.3381,47.05460600000003,-42.06776199999999
283.95,11635.74,0.0,231.66,10180.32,79.67,Normal,0.020970153063665675,2,LOW,49.8959,-72.3381,2025-08-19 10:37:41,59.8102,30.2422,48.40261399999994,24.844238999999995
82.54,114.3,12.03,73.05000000000001,45.72,286.29,Normal,0.005912047553411681,0,LOW,59.8102,30.2422,2025-08-19 10:37:50,41.595,44.3067,37.59525199999996,23.42558900000003
128.68,10622.28,0.0,-98.88,-1363.9799999999996,221.27,Normal,0.1025144635703602,2,LOW,41.595,44.3067,2025-08-19 10:38:01,42.41,29.221,40.18137799999996,26.578395999999994
285.72,12123.42,0.0,207.32,11247.12,98.7,Normal,0.014498922512047763,2,LOW,42.41,29.221,2025-08-19 10:38:02,34.9112,25.9718,34.654908,17.859782000000017
238.06,12298.68,0.0,15.539999999999992,5455.92,321.67,Normal,0.13837182419861993,2,LOW,34.9112,25.9718,2025-08-19 10:38:11,60.6291,45.219,53.27027200000006,32.93440300000002
232.74,11003.28,0.0,162.55,10949.94,233.36,Normal,0.11783129515850455,2,LOW,60.6291,45.219,2025-08-19 10:38:11,55.3579,23.2417,49.86511399999998,34.38793500000001
241.97,10645.14,0.0,17.609999999999985,-388.6200000000008,185.73,Normal,0.1586071945862536,0,LOW,55.3579,23.2417,2025-08-19 10:38:23,19.0909,72.8536,28.027966999999993,46.71752199999999
0.9,10668.0,-0.65,-158.19,7040.88,90.0,Normal,0.01478486134300161,2,LOW,19.0909,72.8536,2025-08-19 10:38:24,42.7956,21.252,40.19017699999997,22.686121999999973
228.09,10713.72,0.33,-33.53,-1607.8200000000015,346.43,Normal,0.12026747324202797,2,LOW,42.7956,21.252,2025-08-19 10:38:29,37.4797,-81.5811,39.324325999999985,-46.177172999999996
239.54,8747.76,0.0,194.74,6858.0,85.2,Normal,0.08058077336786829,2,LOW,37.4797,-81.5811,2025-08-19 10:38:30,50.4838,3.2141,45.840919999999976,9.607548000000008
55.98,662.94,0.0,-70.53999999999999,-243.83999999999992,143.97,Normal,0.07653273889035767,0,LOW,50.4838,3.2141,2025-08-19 10:38:33,37.5217,126.3663,36.504996999999946,93.61034399999991
75.53,419.1,-3.9,-165.29,-11506.2,144.14,Normal,0.06001875453381922,2,LOW,37.5217,126.3663,2025-08-19 10:38:35,-33.7401,18.625,-8.959718999999993,18.664334
52.46,350.52,1.3,-186.56,-10988.04,101.31,Normal,0.051766447613055266,2,LOW,-33.7401,18.625,2025-08-19 10:38:37,62.7939,-26.6252,47.505187,-15.944183999999973
261.82,11361.42,0.33,87.41999999999999,2804.16,296.62,Normal,0.12104557838670754,2,LOW,62.7939,-26.6252,2025-08-19 10:38:40,-20.1277,-47.8981,-4.856597000000002,-8.649076999999995
204.38,7368.54,-8.45,-49.97,-4556.759999999999,57.75,Normal,0.05809952022752779,2,LOW,-20.1277,-47.8981,2025-08-19 10:38:41,18.6843,98.9629,30.235010999999965,62.4613930000001
84.88,815.34,-4.23,10.28,-861.0600000000001,0.35,Normal,0.031094735098971205,0,LOW,18.6843,98.9629,2025-08-19 10:38:41,48.688,9.1975,41.25289200000004,7.437016999999995
0.0,9387.84,7.8,-211.03,-2590.7999999999997,163.12,Anomaly,-0.009070046021857348,5,MEDIUM,48.688,9.1975,2025-08-19 10:38:41,49.0228,2.4903,42.02119700000005,-1.9684840000000037
76.9,312.42,-3.9,-163.79999999999998,-11353.8,85.4,Normal,0.05362317841919212,2,LOW,49.0228,2.4903,2025-08-19 10:38:42,32.8898,-97.0342,33.63929099999998,-47.33662400000003
0.9,1097.28,0.98,-74.14999999999999,-419.10000000000014,227.81,Normal,0.04176831135310222,0,LOW,32.8898,-97.0342,2025-08-19 10:38:42,40.7461,38.1424,39.52984599999995,31.223909000000045
205.54,11140.44,4.55,99.44,9540.24,225.51,Normal,0.08025458476628894,2,LOW,40.7461,38.1424,2025-08-19 10:38:45,37.3497,24.2923,36.17101200000005,12.655376999999985
131.26,2316.48,-4.88,74.86999999999999,1699.26,172.57,Normal,0.07303127300485379,2,LOW,37.3497,24.2923,2025-08-19 10:38:45,26.2774,127.6291,31.279562999999968,94.31219900000008
75.71,441.96,0.0,13.499999999999991,403.86,177.27,Normal,0.09185474434487867,0,LOW,26.2774,127.6291,2025-08-19 10:38:45,24.0406,-75.5081,26.654500999999982,-55.306363999999995
230.42,10355.58,0.0,-14.26000000000002,-1341.1200000000008,335.32,Normal,0.13861648058344972,2,LOW,24.0406,-75.5081,2025-08-19 10:38:45,42.8355,141.8302,42.99936800000004,83.39122400000008
141.27,1661.16,-7.8,-84.53999999999999,-8442.960000000001,343.28,Normal,0.008051509926565448,2,LOW,42.8355,141.8302,2025-08-19 10:38:46,28.7148,-80.9679,32.54491600000003,-35.97740500000003
56.39,617.22,-0.98,47.64,7.620000000000003,121.95,Normal,0.07247129117946632,0,LOW,28.7148,-80.9679,2025-08-19 10:38:46,3.9772,-75.0861,11.377291000000008,-47.56456900000005
244.84,7543.8,8.13,63.140000000000015,-175.26000000000022,221.76,Normal,0.07681723145445551,0,LOW,3.9772,-75.0861,2025-08-19 10:38:46,42.1341,12.6425,38.65775600000007,17.460687999999983
41.87,289.56,-1.63,-56.720000000000006,-1280.16,190.62,Normal,0.08306342914242432,2,LOW,42.1341,12.6425,2025-08-19 10:38:46,-31.945,115.9686,-6.753261000000006,68.03219900000002
1.8,731.52,0.0,-239.52,-8420.1,53.44,Anomaly,-0.0010708238615805277,5,MEDIUM,-31.945,115.9686,2025-08-19 10:38:46,43.6602,-79.6157,40.86002699999997,-41.64125299999996
9.77,68.58,-1.3,6.68,0.0,233.44,Normal,0.059700045308393124,0,LOW,43.6602,-79.6157,2025-08-19 10:38:46,50.3376,6.9342,47.15605699999995,-5.364859000000008
34.96,754.38,-1.63,28.02,76.20000000000005,122.99,Normal,0.07634819355498507,0,LOW,50.3376,6.9342,2025-08-19 10:38:47,40.874,29.2735,37.208234999999945,25.826588999999966
62.81,289.56,-3.25,-176.01,-8153.399999999999,63.23,Normal,0.04768813532733562,2,LOW,40.874,29.2735,2025-08-19 10:38:48,45.7151,5.0817,42.98286099999996,16.94943099999998
1.8,11277.6,0.0,-221.41,-701.039999999999,14.06,Normal,0.009894393012451208,0,LOW,45.7151,5.0817,2025-08-19 10:38:48,51.7066,1.8865,45.56409700000004,1.561444999999996
128.74,3093.72,-25.03,-78.16,-4099.56,267.48,Anomaly,-0.0008644944459734738,7,HIGH,51.7066,1.8865,2025-08-19 10:38:49,52.356,11.972,47.716375000000056,15.901482999999992
25.54,266.7,-1.63,-214.82,-12374.88,108.8,Normal,0.017921307474465298,2,LOW,52.356,11.972,2025-08-19 10:38:49,46.5185,27.2039,44.87264100000004,21.647430999999994
60.19,1744.98,0.0,-165.87,-10500.36,337.38,Normal,0.036950361941231025,2,LOW,46.5185,27.2039,2025-08-19 10:38:50,42.1739,16.1156,33.44312699999998,8.826748999999996
229.5,10187.94,0.0,197.48,7955.280000000001,310.55,Normal,0.10838176310821418,2,LOW,42.1739,16.1156,2025-08-19 10:38:50,30.0713,-81.4061,34.953544000000036,-53.601666000000044
56.11,2202.18,0.0,-183.53,-6126.48,357.9,Normal,0.029906420096732944,2,LOW,30.0713,-81.4061,2025-08-19 10:38:51,58.3948,15.5177,44.914119,16.74573500000001
0.0,11963.4,2.6,-240.76,335.27999999999884,284.06,Anomaly,-0.009638986871511768,3,MEDIUM,58.3948,15.5177,2025-08-19 10:38:53,57.1824,0.2144,48.25607499999998,-0.2931229999999962
69.09,944.88,-1.3,-122.29,-13289.28,93.84,Normal,0.04404381178172179,2,LOW,57.1824,0.2144,2025-08-19 10:38:53,32.005,34.8786,30.914809000000044,17.191891000000005
12.86,10363.2,0.0,-200.76,-1325.8799999999992,300.94,Normal,0.037788303741086215,2,LOW,32.005,34.8786,2025-08-19 10:38:53,59.4151,24.806,51.86951200000006,30.70813600000002
6.43,3322.32,-33.81,-205.51,-4305.299999999999,275.62,Anomaly,-0.057772468821251755,7,HIGH,59.4151,24.806,2025-08-19 10:38:54,60.2743,5.2245,47.385323000000035,-9.357632999999995
50.07,129.54,-2.6,-210.34000000000003,-9745.98,350.54,Normal,0.004921929586911622,2,LOW,60.2743,5.2245,2025-08-19 10:38:54,55.6286,12.6725,45.24451499999999,24.678529000000008
72.54,83.82,-3.9,-159.07,-12222.48,221.26,Normal,0.038930438908929665,2,LOW,55.6286,12.6725,2025-08-19 10:38:55,45.7457,8.8907,40.99203999999995,-5.214073000000006
0.0,11590.02,0.0,-30.35,0.0,261.56,Normal,0.06087571756622284,0,LOW,45.7457,8.8907,2025-08-19 10:38:55,22.3062,113.9154,25.650993000000003,75.81094699999996
2.83,9364.98,-5.2,-187.52,5410.199999999999,250.31,Anomaly,-0.006821702305288668,5,MEDIUM,22.3062,113.9154,2025-08-19 10:38:56,38.2822,-0.5569,36.372075000000045,9.072664999999995
21.61,11277.6,0.0,-187.79,4312.92,84.38,Normal,0.030232981224161293,2,LOW,38.2822,-0.5569,2025-08-19 10:38:56,38.9531,24.4887,36.56130500000005,6.947416999999999
51.51,121.92,-5.2,12.57,-144.77999999999997,357.14,Normal,0.024455143095385767,0,LOW,38.9531,24.4887,2025-08-19 10:38:56,52.4353,-1.7274,40.35967700000002,13.303094000000009
77.34,259.08,-3.9,71.94,114.29999999999998,325.57,Normal,0.04684008268308415,0,LOW,52.4353,-1.7274,2025-08-19 10:38:57,38.8504,-77.0376,35.77080999999996,-29.684817000000038
40.13,7315.2,0.0,-226.98,-4000.500000000001,354.38,Anomaly,-0.005704137579429891,5,MEDIUM,38.8504,-77.0376,2025-08-19 10:38:57,-33.9377,151.1923,-5.371552000000005,95.59698500000002
10.29,556.26,-0.98,-234.73,-10111.74,0.0,Anomaly,-0.01473475029668081,5,MEDIUM,-33.9377,151.1923,2025-08-19 10:38:57,23.3589,113.6162,26.193611,75.7301520000001
164.76,3497.58,5.53,98.19,3162.3,54.28,Normal,0.04032556542990684,2,LOW,23.3589,113.6162,2025-08-19 10:38:57,4.7177,-74.1785,20.10196099999999,-41.917087
85.6,2667.0,-4.55,-157.91,-8702.04,126.94,Normal,0.07363084044985424,2,LOW,4.7177,-74.1785,2025-08-19 10:38:57,-29.4562,118.5069,-11.022197000000004,90.91209800000007
320.49,10965.18,0.0,222.71,9822.18,108.73,Normal,0.018626645682679244,4,MEDIUM,-29.4562,118.5069,2025-08-19 10:38:57,18.4711,-66.2792,19.934515999999988,-16.65857599999997
88.48,762.0,-0.33,34.17,45.72000000000003,254.83,Normal,0.08205067542754424,0,LOW,18.4711,-66.2792,2025-08-19 10:38:59,1.6702,103.6587,14.524512000000009,63.65864199999999
72.43,167.64,-3.58,-166.45,-13037.82,159.63,Normal,0.0403982921905488,2,LOW,1.6702,103.6587,2025-08-19 10:39:00,45.4605,-73.7744,41.770632000000035,-36.49028999999996
1.8,11277.6,-0.33,-155.01,7178.04,5.62,Anomaly,-0.012754749804108068,5,MEDIUM,45.4605,-73.7744,2025-08-19 10:39:00,44.8325,-93.4945,43.49323800000001,-50.17380099999991
52.97,365.76,-3.25,52.97,0.0,101.2,Normal,0.05700375889501769,0,LOW,44.8325,-93.4945,2025-08-19 10:39:00,42.5553,29.3582,33.011222,14.988785999999958
256.5,11788.14,0.0,21.080000000000013,-243.84000000000012,133.94,Normal,0.14651260240131392,0,LOW,42.5553,29.3582,2025-08-19 10:39:02,-6.3409,113.663,13.172078000000013,66.52229099999991
243.86,12039.6,0.0,0.0700000000000216,723.8999999999996,108.7,Normal,0.15600875640469059,0,LOW,-6.3409,113.663,2025-08-19 10:39:03,-3.1,112.1833,8.404476999999991,77.3752459999999
226.42,10728.96,0.0,-21.89000000000001,-1371.6000000000004,64.42,Normal,0.135626328705219,2,LOW,-3.1,112.1833,2025-08-19 10:39:03,-22.0044,-45.3898,4.871331000000005,-22.563764999999993
263.55,10820.4,4.23,114.15,7254.24,30.37,Normal,0.04985627271093285,2,LOW,-22.0044,-45.3898,2025-08-19 10:39:03,46.4863,15.6601,45.79198199999999,15.830102000000025
